"","glottocode","TLI0005","TLI0008","TLI0035","TLI0044","TLI0081","TLI0096","TLI0102","TLI0107","TLI0120","TLI0140","TLI0155","TLI0164","TLI0175","TLI0178","TLI0179","TLI0180","TLI0181","TLI0187","TLI0189","TLI0360","TLI0364","TLI0370","TLI0371","TLI0373","TLI0376","TLI0377","TLI0378","TLI0381","TLI0383","TLI0387","TLI0388","TLI0392","TLI0395","TLI0398","TLI0400","TLI0401","TLI0403","TLI0430","TLI0431","TLI0433","TLI0434","TLI0440","TLI0453","TLI0454","TLI0512","TLI0513","TLI0514","TLI0515","TLI0517","TLI0518","TLI0519","TLI0547","TLI0549","TLI0552","TLI0560","TLI0564","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0598","TLI0599","TLI0604","TLI0606","TLI0607","TLI0608","TLI0612","TLI0613","TLI0615","TLI0616","TLI0617","TLI0621","TLI0624","TLI0626","TLI0629","TLI0630","TLI0631","TLI0635","TLI0636","TLI0640","TLI0642","TLI0654","TLI0668","TLI0670","TLI0672","TLI0673","TLI0674","TLI0682","TLI0738","TLI0751","TLI0766","TLI0771","TLI0790","TLI0792","TLI0801","TLI0804","TLI0839","TLI0840","TLI0841","TLI0842","TLI0843","TLI0844","TLI0845","TLI0846","TLI0847","TLI0848","TLI0849","TLI0850","TLI0851","TLI0852","TLI0853","TLI0854","TLI0855","TLI0856","TLI0857","TLI0860","TLI0861","TLI0862","TLI0863","TLI0864","TLI0868","TLI0869","TLI0870","TLI0871","TLI0872","TLI0874","TLI0875","TLI0876","TLI0877","TLI0878","TLI0879","TLI0880","TLI0883","TLI0885","TLI0886","TLI0887","TLI0891","TLI0892","TLI0893","TLI0896","TLI0897","TLI0898","TLI0899","TLI0900","TLI0901","TLI0902","TLI0903","TLI0904","TLI0905","TLI0906","TLI0907","TLI0910","TLI0912","TLI0913","TLI0914","TLI0915","TLI0916","TLI0918","TLI0919","TLI0920","TLI0921","TLI0922","TLI0923","TLI0924","TLI0925","TLI0926","TLI0927","TLI0928","TLI0929","TLI0930","TLI0931","TLI0932","TLI0933","TLI0934","TLI0935","TLI0936","TLI0937","TLI0938","TLI0939","TLI0940","TLI0941","TLI0942","TLI0943","TLI0944","TLI0945","TLI0946","TLI0947","TLI0948","TLI0949","TLI0950","TLI0951","TLI0952","TLI0953","TLI0954","TLI0955","TLI0956","TLI0957","TLI0958","TLI0959","TLI0960","TLI0961","TLI0962","TLI0963","TLI0964","TLI0965","TLI0966","TLI0967","TLI0968","TLI0969","TLI0976","TLI0977","TLI0978","TLI0979","TLI0980","TLI0981","TLI0982","TLI0983","TLI0984","TLI0985","TLI0986","TLI0987","TLI0988","TLI0989","TLI0990","TLI0991","TLI0992","TLI0993","TLI0994","TLI0995","TLI0996","TLI0997","TLI0998","TLI0999","TLI1000","TLI1001","TLI1002","TLI1003","TLI1004","TLI1005","TLI1006","TLI1007","TLI1008","TLI1009","TLI1010","TLI1011","TLI1012","TLI1013","TLI1014","TLI1015","TLI1016","TLI1017","TLI1018","TLI1019","TLI1020","TLI1021","TLI1023","TLI1024","TLI1025","TLI1026","TLI1027","TLI1028","TLI1029","TLI1030","TLI1031","TLI1032","TLI1033","TLI1034","TLI1035","TLI1036","TLI1037","TLI1038","TLI1040","TLI1041","TLI1042","TLI1043","TLI1044","TLI1045","TLI1046","TLI1047","TLI1048","TLI1049","TLI1050","TLI1051","TLI1052","TLI1053","TLI1054","TLI1055","TLI1056","TLI1057","TLI1058","TLI1059","TLI1060","TLI1061","TLI1064","TLI1065","TLI1066","TLI1067","TLI1068","TLI1069","TLI1070","TLI1071","TLI1072","TLI1073","TLI1074","TLI1075","TLI1076","TLI1077","TLI1078","TLI1079","TLI1080","TLI1081","TLI1082","TLI1083","TLI1084","TLI1085","TLI1086","TLI1087","TLI1088","TLI1090","TLI1091","TLI1092","TLI1093","TLI1094","TLI1095","TLI1096","TLI1097","TLI1098","TLI1099","TLI1100","TLI1101","TLI1102","TLI1103","TLI1104","TLI1105","TLI1106","TLI1107","TLI1108","TLI1114","TLI1115","TLI1116","TLI1118"
"1","aari1239","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","true","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","prenominal","?","?","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?","?","?","?","?","?","?","?","?","?",NA,NA,"?","?","?","?","?","S=Atr≠P (accusative)","?","?","?","interrogative verb morphology","?","post","noun-num",NA,"clitics or affixes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","extensive affixation","?","TRUE","?","?","?","?","?","?","?","FALSE","?","?","?","?","?","?","?","?","?","?","?","noun-dem","demonstrative word","clitics",NA,NA,"?",NA,"?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","negative suffix",NA,NA,"?","?","suffixing",NA,NA,"?",NA,"TRUE","FALSE","?","?","?","affix","post","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","definite distinct from demonstrative","definite affix",NA,NA,"?","?","?","?",NA,"?","?",NA,"?","?","negative affix","FALSE","no double negation","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","TRUE","TRUE","TRUE","TRUE","?","FALSE","FALSE","?",NA,"suffixes","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",NA,"?","?","?","?","?","?","?","?","genitive-noun","noun-adjective","?","?","FALSE","?","?","?","?","?","?","?","TRUE","?","?","?","?","FALSE","TRUE","?","?","FALSE","TRUE","?","?","?","?"
"5","abau1245","?","?","false","true","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","true","true","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","TRUE","FALSE","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","false","false","true","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE",NA,"?","?","?","?","?","?","?","?","?","?","?","?",NA,NA,"?","?","?","?","?","S=Atr≠P (accusative)","S=Atr≠P","P=T=G","?","?","?","post","noun-num","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","noun-dem","demonstrative word","?","?","?","?",NA,"?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?",NA,"postverbal word",NA,"immediately postverbal",NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","negative word","FALSE","no double negation","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","TRUE","?","FALSE","FALSE","?","FALSE","FALSE","?","?","?",NA,NA,NA,NA,NA,"FALSE","?","S=Atr≠P","?","?","?","?","?","?","?","genitive-noun","?","?","?","FALSE","sov","?","?","?","?","?","?","TRUE","?","?","?","?","FALSE","FALSE","?","?","?","?","?","?","?","?"
"6","abaz1241","?","?","false","false","?","restricted","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","Different","Impossible","?","?","?","?","?","?","?","?","?","Inflectional optative present","?","FALSE","?","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","S=Atr=P","?","?","?","?","?","?","?","?","?","?","?","?","sov","?","?","?","?","?","?","TRUE","?","?","?","?","?","?","TRUE","?","?","?","?","?","?","?"
"8","abip1241","?","?","?","?","?","restricted","?","false","unrestricted","false","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","Absent","?","?","?","Conjoined","?","Complex","Moderately small","Average (5-6)","?","?","?","No grammatical marking","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"VX","prenominal","initial","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","Both the A and P arguments","syncretic",NA,NA,NA,"?","?",NA,NA,NA,"?",NA,NA,"FALSE",NA,"?",NA,NA,NA,"?","?","?","A precedes P","?",NA,"pre","?","?","?","?","?","TRUE","TRUE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","extensive affixation","?","?","?","FALSE","FALSE","?","?","?","?","TRUE","?","?","?","?","?","?","?","FALSE","?","?","?","dem-noun","demonstrative word","?","?","negative particle","TRUE",NA,"?","?","?","?","?",NA,"TRUE","?","?","FALSE","FALSE","FALSE","?","?","?",NA,"preverbal word",NA,NA,"?","suffixing","?","?","pronouns sensitive to number","?","?","?",NA,"FALSE","FALSE",NA,NA,"?","?",NA,"?",NA,"?","?","?","?",NA,"?",NA,"zero in at least some 3sg forms","TRUE","FALSE","?","?","?","?",NA,NA,"?","?",NA,"?","?","?","?","?","negative word","FALSE","no double negation","TRUE","TRUE","TRUE","FALSE","FALSE","?","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",NA,"concatenative","suffixes",NA,NA,NA,"TRUE","FALSE","FALSE","suffix","?","?","?","none","?","?","?","?","?","?","Degree word-Adjective","initial","FALSE","svo","FALSE","?","?","?","?","FALSE","TRUE","FALSE","FALSE","?","?","FALSE","TRUE","?","?","TRUE","FALSE","?","?","?",NA
"9","abis1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE",NA,"?","?","?","?","?","?","?","?","?","?","?","?",NA,NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","?","?","FALSE","TRUE","?","FALSE","FALSE","?","?","?",NA,NA,NA,"TRUE","FALSE","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?","?","?","?"
"10","abkh1244","false","false","false","false","?","restricted","?","false","restricted","false","false","?","false","false","false","false","false","false","true","0","true","false","false","true","false","false","true","false","false","false","false","true","false","false","true","true","false","?","False","False","separative","True","false","false","?","?","?","?","?","?","?","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","Absent","'Have'","Different","Impossible","?","Gap","Complex","Large","Small (2-4)","Identical","Differentiated","'And' different from 'with'","Grammatical marking","Inflectional optative present","Overlap for either possibility or necessity","FALSE","?","FALSE","?","no infixes in verb inflection and agreement","split markers in verb inflection and agreement","9+","?","FALSE","2","?","?","absent","Highly differentiated","yes, without marking","affixes on verbs not possible","verbal constructions possible","FALSE","FALSE","vigesimal",NA,"XV","postnominal","final",NA,"false","?","?",NA,"true","true","true","prae","?","true","false","true","false","false","false","False","False","False","TRUE","FALSE","Both the A and P arguments","not syncretic",NA,NA,"Inflectional future exists",NA,NA,NA,"symmetrical","TRUE","false","true","FALSE",NA,"Other perfect","false","false","false","true","S=Atr=P (neutral)","?","P=T≠G","P precedes A","interrogative verb morphology","verbal affix or clitic","post","?",NA,"clitics or affixes","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","?","extensive affixation","TRUE","TRUE","?","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","identity","TRUE","special imperative","normal negative","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","dem-noun","demonstrative word","clitics",NA,NA,"TRUE",NA,"?","?","productive full and partial","?","FALSE",NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","Gap","FALSE","TRUE","?",NA,NA,"?","?","?","nominal plurality obligatory","all-nouns","pronouns sensitive to number","unique associative plural","TRUE","TRUE","TRUE","TRUE","TRUE",NA,NA,"?",NA,"TRUE","2p with number distinctions","TRUE","TRUE","Possessive",NA,NA,"TRUE","Second singular and second plural","indirect only",NA,"TRUE","FALSE","definite distinct from demonstrative","definite word","indefinite same as one","indefinite word",NA,"FALSE",NA,NA,NA,"Predicate negation also present","first/one-th, two-th, three-th","prefixes","FALSE","TRUE","negative affix","FALSE","no double negation","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE",NA,"concatenative","suffixes","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","suffix","S=Atr=P","P=T=G","?","none","Indirect-object construction","?","?","Dedicated","genitive-noun","noun-adjective","Degree word-Adjective","not initial","FALSE","sov","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","not predictable","TRUE","FALSE","TRUE",NA,"M","TRUE"
"13","abui1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","true","false","true","true","true","true","false","False","?","False","False","?","False","False","?","True","False","True","True","?","True","False","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","many (9+)","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","prenominal","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"noun-num","?","pronouns in different position","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","extensive affixation","?","?","?","?","?","?","?","?","?","TRUE","?","?","?","?","?","?","?","?","?","?","?","dem-noun","demonstrative word",NA,NA,"negative auxiliary verb","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"postverbal word",NA,"immediately postverbal",NA,"?","?","?","?","?","?","?","?",NA,"?",NA,NA,"?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","prefixes","?","?","negative word","?","no double negation","?","?","?","?","?","?","?","FALSE","TRUE","?","?","?","?","?","?","isolating","suffixes","?","?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","genitive-noun","noun-adjective","?","not initial","?","sov","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?","?","TRUE","FALSE","?","?","?","?"
"14","abuj1237","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE",NA,"?","?","?","?","?","?","?","?","?","?","?","?",NA,"FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","?","?","FALSE","TRUE","?","FALSE","FALSE","?","?","?",NA,NA,NA,"TRUE","FALSE","TRUE","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?","?","?","?"
"15","abun1252","?","?","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","Absent","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE",NA,"FALSE",NA,"?","?","?","?","?","?","no distinction","formally similar","?","Highly differentiated","?","?","?","?","?","decimal","circumverbal","VX","prenominal","?","?",NA,NA,NA,"?",NA,NA,NA,NA,NA,"?","?","?","?","?","?","?","?","?","?","?",NA,NA,"?","?","?","?","?",NA,"?","?",NA,NA,"?","?","?",NA,NA,NA,NA,NA,NA,NA,NA,"question particle","?","pre","noun-num","Final","pronouns in subject position","?","?","?","?","FALSE","?","?","?","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","?","?","little or no affixation","?","TRUE","?","TRUE","?","?","?","?","?","?","?","identity","FALSE","?","?","?","?","?","?","?","?","noun-dem","demonstrative word",NA,"obligatory",NA,"?","?","?","?","?","?","FALSE","?",NA,"?","?","?","?","?","?","FALSE","TRUE",NA,NA,"TRUE","?","?",NA,NA,NA,"?",NA,"TRUE","TRUE","FALSE","FALSE","?",NA,NA,"?","obligatory","?",NA,"?","?","?","?","?",NA,NA,"?",NA,"?","?","definite same as demonstrative","definite word","indefinite distinct from one","indefinite word","singular only","?","?","?",NA,"Predicate negation also present","?","?","TRUE","?",NA,"?","double negation","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?","?","?","?",NA,NA,"?","?","?","?","?","?",NA,"S=Atr=P","P=T≠G","?","?","Indirect-object construction","?","?","Generic-noun-based","genitive-noun","noun-adjective","Adjective-Degree word","not initial","?","svo","?","?","?","?","?","?","FALSE","?","?","?","?","?","?","?","?","FALSE","FALSE",NA,NA,"N",NA
"17","acat1239","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","?","?","?","?","?","?","?","Average","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"VX","prenominal","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE",NA,"?","?","?","?","?","?","?","?","?","?","?","?",NA,NA,"?","?","?","?","?","?","?","?","?","question particle",NA,"pre","num-noun","Initial","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","extensive affixation","?","?","?","?","TRUE","TRUE","FALSE","?","?","TRUE","?","?","?","?","?","?","?","FALSE","?","FALSE","FALSE","noun-dem","demonstrative word","?","?",NA,"?","complex","?","?","productive full and partial","?","?",NA,"?","?","?","?","?","?","?","?","?","negative prefix",NA,NA,"?","?","?",NA,NA,"?",NA,"?","?","?","?","FALSE","affix","post","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","suffixes","?","?","negative affix","TRUE","no double negation","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","?","TRUE","TRUE","FALSE","TRUE","?","FALSE","FALSE","?",NA,"prefixes",NA,NA,NA,"TRUE","FALSE","FALSE",NA,"?","?","?","?","?","5","?","?","noun-genitive","noun-adjective","Degree word-Adjective","initial","TRUE","vso","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?","?","FALSE","TRUE","?","?","?","?"
